version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
excl_clamp0,actual,し,wipe,500,0.01389,1.0,14.46232,7.96002,True,60,60,20,
excl_clamp0,actual,つ,fade,pooled,0.01389,1.0,1.58399,1.52751,True,121,121,39,
excl_clamp0,actual,つ,fade,300,0.01389,1.0,1.47261,1.8385,True,61,61,20,
excl_clamp0,actual,つ,fade,500,0.01389,1.0,1.63643,1.24089,True,60,60,19,
excl_clamp0,actual,つ,reveal,pooled,0.01389,1.0,1.61739,0.79209,True,120,120,40,
excl_clamp0,actual,つ,reveal,300,0.01389,1.0,2.23161,1.11345,True,57,57,19,
excl_clamp0,actual,つ,reveal,500,0.01389,1.0,1.09401,0.39335,True,63,63,21,
excl_clamp0,actual,つ,blur,pooled,0.01389,1.0,31.37188,10.41497,True,127,127,42,
excl_clamp0,actual,つ,blur,300,0.01389,1.0,35.01771,10.80585,True,64,64,21,
excl_clamp0,actual,つ,blur,500,0.01389,1.0,28.50109,8.92323,True,63,63,21,
excl_clamp0,actual,つ,wipe,pooled,0.01389,0.93266,30.38048,9.82507,True,123,123,41,
excl_clamp0,actual,つ,wipe,300,0.01389,0.89144,22.67522,5.11018,True,60,60,20,
excl_clamp0,actual,つ,wipe,500,0.01389,1.0,38.77649,14.89793,True,63,63,21,
excl_clamp0,actual,ま,fade,pooled,0.01389,0.92972,1.39341,0.38795,True,123,123,41,
excl_clamp0,actual,ま,fade,300,0.01389,0.96551,1.52463,0.45656,True,63,63,21,
excl_clamp0,actual,ま,fade,500,0.01389,0.89448,1.27432,0.28418,True,60,60,20,
excl_clamp0,actual,ま,reveal,pooled,0.01389,1.0,2.4149,1.0443,True,120,120,39,
excl_clamp0,actual,ま,reveal,300,0.01389,1.0,3.58986,0.95941,True,60,60,19,
excl_clamp0,actual,ま,reveal,500,0.01389,1.0,1.26489,0.55625,True,60,60,20,
excl_clamp0,actual,ま,blur,pooled,0.01389,1.0,44.5377,10.36546,True,121,121,41,
excl_clamp0,actual,ま,blur,300,0.01389,1.0,44.65448,11.5565,True,63,63,21,
excl_clamp0,actual,ま,blur,500,0.01389,1.0,44.26929,9.21735,True,58,58,20,
excl_clamp0,actual,ま,wipe,pooled,0.01389,0.95238,3.96602,0.0995,True,126,126,42,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,ま,wipe,300,0.01389,0.93548,3.87747,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,ま,wipe,500,0.01389,0.96875,4.14113,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,ら,fade,pooled,0.01389,1.0,1.68598,0.36383,True,126,126,42,
excl_clamp0,actual,ら,fade,300,0.01389,1.0,1.92933,0.35437,True,63,63,21,
excl_clamp0,actual,ら,fade,500,0.01389,1.0,1.43137,0.24044,True,63,63,21,
